Opponent's deck,Player's deck,Crowns taken,Win
"['Hog Rider', 'Fireball', 'Cannon', 'Ice Spirit', 'Ice Golem', 'Musketeer', 'The Log', 'Skeletons']","['Knight', 'Firecracker', 'Skeleton Barrel', 'Goblin Gang', 'The Log', 'Dart Goblin', 'Inferno Tower', 'Goblin Barrel']","[0, 1]",0
"['Ice Wizard', 'Three Musketeers', 'Minion Horde', 'Goblin Giant', 'Poison', 'Heal Spirit', 'Goblin Gang', 'Tesla']","['Valkyrie', 'Guards', 'Ice Golem', 'Arrows', 'Lava Hound', 'Cannon Cart', 'Elixir Golem', 'Minions']","[0, 1]",0
"['Lava Hound', 'Poison', 'Goblins', 'Goblin Drill', 'Spear Goblins', 'Princess', 'Dark Prince', 'Royal Recruits']","['Tesla', 'Royal Ghost', 'Lumberjack', 'Wizard', 'Giant', 'Fire Spirit', 'Barbarian Barrel', 'Goblin Giant']","[1, 0]",1
"['Lumberjack', 'Ice Wizard', 'Musketeer', 'Tornado', 'Giant Skeleton', 'The Log', 'Hog Rider', 'Poison']","['Knight', 'Firecracker', 'Skeleton Barrel', 'Goblin Gang', 'The Log', 'Dart Goblin', 'Inferno Tower', 'Goblin Barrel']","[1, 0]",1
"['Firecracker', 'Skeleton Barrel', 'Arrows', 'Goblin Gang', 'Inferno Dragon', 'Electro Giant', 'Mega Knight', 'Tombstone']","['Knight', 'Firecracker', 'Skeleton Barrel', 'Goblin Gang', 'The Log', 'Dart Goblin', 'Inferno Tower', 'Goblin Barrel']","[3, 1]",1
"['Firecracker', 'Mega Knight', 'Elite Barbarians', 'Witch', 'Wizard', 'Electro Wizard', 'Valkyrie', 'Hog Rider']","['Knight', 'Firecracker', 'Skeleton Barrel', 'Goblin Gang', 'The Log', 'Dart Goblin', 'Inferno Tower', 'Goblin Barrel']","[0, 3]",0
"['Firecracker', 'Skeletons', 'Bats', 'Tesla', 'Earthquake', 'Fireball', 'Valkyrie', 'Hog Rider']","['Knight', 'Firecracker', 'Skeleton Barrel', 'Goblin Gang', 'The Log', 'Dart Goblin', 'Inferno Tower', 'Goblin Barrel']","[2, 1]",1
"['Firecracker', 'Knight', 'Hog Rider', 'Ice Spirit', 'The Log', 'Earthquake', 'Skeletons', 'Tesla']","['Knight', 'Firecracker', 'Skeleton Barrel', 'Goblin Gang', 'The Log', 'Dart Goblin', 'Inferno Tower', 'Goblin Barrel']","[2, 1]",1
"['Baby Dragon', 'Poison', 'Mega Knight', 'Lightning', 'Arrows', 'Inferno Tower', 'Giant Skeleton', 'Wizard']","['Knight', 'Firecracker', 'Skeleton Barrel', 'Goblin Gang', 'The Log', 'Dart Goblin', 'Inferno Tower', 'Goblin Barrel']","[0, 3]",0
"['Skeletons', 'Knight', 'Princess', 'Rocket', 'Ice Spirit', 'Cannon', 'Goblin Barrel', 'The Log']","['Knight', 'Firecracker', 'Skeleton Barrel', 'Goblin Gang', 'The Log', 'Dart Goblin', 'Inferno Tower', 'Goblin Barrel']","[0, 1]",0
"['Skeletons', 'Musketeer', 'Hog Rider', 'Fireball', 'The Log', 'Ice Spirit', 'Ice Golem', 'Cannon']","['Knight', 'Firecracker', 'Skeleton Barrel', 'Goblin Gang', 'The Log', 'Dart Goblin', 'Inferno Tower', 'Goblin Barrel']","[1, 0]",1
"['Giant', 'Lightning', 'Tornado', 'Royal Hogs', 'Bats', 'Guards', 'Heal Spirit', 'Flying Machine']","['Minion Horde', 'Spear Goblins', 'Goblin Gang', 'Tesla', 'Goblin Drill', 'Barbarian Barrel', 'Poison', 'Ice Golem']","[3, 0]",1
"['Magic Archer', 'Goblin Gang', 'Witch', 'Ice Golem', 'Royal Delivery', 'Elixir Golem', 'Rocket', 'Mortar']","['Tesla', 'Zap', 'Hog Rider', 'Mega Minion', 'Golem', 'Dark Prince', 'Skeleton Army', 'Inferno Dragon']","[3, 0]",1
"['P.E.K.K.A', 'Battle Ram', 'Poison', 'Zap', 'Magic Archer', 'Electro Wizard', 'Bandit', 'Golden Knight']","['Firecracker', 'Hog Rider', 'The Log', 'Mini P.E.K.K.A', 'Musketeer', 'Bowler', 'Fireball', 'Cannon']","[0, 3]",0
"['Firecracker', 'Knight', 'Musketeer', 'Mega Knight', 'Minions', 'Poison', 'Skeleton Barrel', 'Zap']","['Firecracker', 'Hog Rider', 'The Log', 'Mini P.E.K.K.A', 'Musketeer', 'Bowler', 'Fireball', 'Cannon']","[2, 1]",1
"['Knight', 'P.E.K.K.A', 'Battle Ram', 'Electro Wizard', 'Zap', 'Bandit', 'Minions', 'Fireball']","['Firecracker', 'Hog Rider', 'The Log', 'Mini P.E.K.K.A', 'Musketeer', 'Bowler', 'Fireball', 'Cannon']","[0, 1]",0
"['Royal Giant', 'Royal Recruits', 'Princess', 'Electro Wizard', 'Mirror', 'Dart Goblin', 'Zap', 'Fireball']","['Royal Recruits', 'Little Prince', 'Witch', 'Fire Spirit', 'Miner', 'Arrows', 'Mega Knight', 'Goblin Gang']","[1, 0]",1
"['Balloon', 'Poison', 'Skeleton Dragons', 'Lava Hound', 'Mega Knight', 'Arrows', 'Sparky', 'Electro Dragon']","['Skeletons', 'Royal Giant', 'Dart Goblin', 'The Log', 'Skeleton Barrel', 'Goblin Barrel', 'Wizard', 'Mini P.E.K.K.A']","[1, 0]",1
"['Witch', 'Goblin Barrel', 'Hog Rider', 'Fireball', 'Furnace', 'Mini P.E.K.K.A', 'Knight', 'Minions']","['Knight', 'Hog Rider', 'Cannon', 'Fireball', 'Dark Prince', 'Zap', 'Ice Spirit', 'Musketeer']","[0, 1]",0
"['Giant Skeleton', 'Magic Archer', 'Tornado', 'Battle Healer', 'Princess', 'Arrows', 'Dart Goblin', 'Mirror']","['Firecracker', 'Bowler', 'Valkyrie', 'Tesla', 'Mortar', 'Bandit', 'Electro Wizard', 'Royal Delivery']","[1, 0]",1
"['Royal Recruits', 'Wall Breakers', 'Mega Knight', 'Witch', 'Poison', 'Bomb Tower', 'Mother Witch', 'Little Prince']","['Firecracker', 'Hog Rider', 'The Log', 'Mini P.E.K.K.A', 'Musketeer', 'Bowler', 'Fireball', 'Cannon']","[0, 1]",0
"['Bats', 'Skeletons', 'Giant', 'Night Witch', 'Bowler', 'Arrows', 'Giant Snowball', 'Graveyard']","['Firecracker', 'Hog Rider', 'The Log', 'Mini P.E.K.K.A', 'Musketeer', 'Bowler', 'Fireball', 'Cannon']","[1, 0]",1
"['Firecracker', 'Skeletons', 'Fireball', 'Electro Wizard', 'Mega Knight', 'Barbarian Barrel', 'Cannon', 'Hog Rider']","['Firecracker', 'Hog Rider', 'The Log', 'Mini P.E.K.K.A', 'Musketeer', 'Bowler', 'Fireball', 'Cannon']","[1, 0]",1
"['Skeletons', 'Inferno Dragon', 'Zap', 'Ice Spirit', 'P.E.K.K.A', 'Electro Wizard', 'Bandit', 'Minions']","['Firecracker', 'Hog Rider', 'The Log', 'Mini P.E.K.K.A', 'Musketeer', 'Bowler', 'Fireball', 'Cannon']","[0, 1]",0
"['Royal Giant', 'Hunter', 'Fisherman', 'Dark Prince', 'Electro Spirit', 'Lightning', 'The Log', 'Skeletons']","['Firecracker', 'Hog Rider', 'The Log', 'Mini P.E.K.K.A', 'Musketeer', 'Bowler', 'Fireball', 'Cannon']","[3, 0]",1
"['The Log', 'Fire Spirit', 'Tesla', 'Elite Barbarians', 'Barbarian Barrel', 'Minion Horde', 'Barbarians', 'Royal Giant']","['Mega Knight', 'Witch', 'Mini P.E.K.K.A', 'Valkyrie', 'Bowler', 'Firecracker', 'Prince', 'Musketeer', 'P.E.K.K.A', 'Wizard', 'Fireball', 'Elite Barbarians']","[0, 3]",0
"['Bowler', 'Bats', 'Wizard', 'Zap', 'Knight', 'Balloon', 'Cannon', 'Goblins']","['Mega Knight', 'Witch', 'Mini P.E.K.K.A', 'Valkyrie', 'Bowler', 'Firecracker', 'Prince', 'Musketeer', 'P.E.K.K.A', 'Wizard', 'Fireball', 'Elite Barbarians']","[3, 0]",1
